nAdjClose,AdjClose,EMA50,EMA200,EMA13,EMA26,EMA12,EMA9,RSI14,MACD,MACDSignal,orders_executed,signal_outcome
0.0542799218,18.40499496,0.05345832498,0.06182474279,0.05376491934,0.05369145626,0.05373531665,0.0536448917,51.98699642,4.39E-05,0.0536448917,1,-1
0.05468242893,18.5414753,0.05347592589,0.06150119066,0.05368987176,0.05366293787,0.05367201595,0.05363185786,53.24494757,9.08E-06,0.05363185786,1,-1
0.05490553899,18.61712646,0.0519053363,0.05916134971,0.051545663,0.05149750959,0.05159664912,0.05184578004,58.17934881,9.91E-05,0.05184578004,1,1
0.05326794164,18.06185722,0.05339357657,0.05808426559,0.051890259,0.05180061855,0.05196507551,0.0522386154,54.68392564,0.0001644569614,0.0522386154,1,1
0.05919271386,20.07080269,0.05770179438,0.05859401156,0.05710325039,0.05701207365,0.05718451579,0.05754427133,59.64173513,0.0001724421417,0.05754427133,1,-1
0.05082992577,17.23518562,0.04987391938,0.05454588219,0.04894664507,0.04890206457,0.04899403912,0.04921505505,56.65086156,9.20E-05,0.04921505505,1,-1
0.04695672208,15.92187691,0.04605905087,0.05139528931,0.04518465297,0.04508485434,0.04526490785,0.04561953402,55.82389157,0.0001800535093,0.04561953402,1,-1
0.04637713544,15.72535324,0.04405000267,0.04890078421,0.04385014108,0.0435251552,0.04394826146,0.0443887767,58.98801171,0.0004231062667,0.0443887767,1,1
0.05134512702,17.40987778,0.04957823191,0.04949748379,0.04994319595,0.04993919574,0.04996266334,0.05008248118,56.56260293,2.35E-05,0.05008248118,1,-1
0.04668314042,15.82911205,0.0459074466,0.04789739943,0.04641890039,0.04567686177,0.04654058887,0.0469757418,54.56736984,0.0008637270982,0.0469757418,1,-1
0.04758767753,16.13581848,0.04640515173,0.04722577228,0.04693285363,0.04652398216,0.04700361212,0.04727567522,56.73612912,0.0004796299627,0.04727567522,1,-1
0.0493025081,16.71727562,0.04821284204,0.04899182616,0.04866537601,0.04812756595,0.04874859816,0.04905167518,57.4635785,0.0006210322048,0.04905167518,1,-1
0.0486157006,16.48439598,0.04821894245,0.04885235842,0.04821220485,0.04818446289,0.04821427115,0.04823320024,54.56841259,2.98E-05,0.04823320024,1,1
0.05201402969,17.63668633,0.05201488485,0.05247426295,0.05162945526,0.05159892428,0.05164792568,0.0517161569,53.20868095,4.90E-05,0.0517161569,1,-1
0.05265923926,17.85546112,0.05198106029,0.05244694128,0.05171791871,0.05165146576,0.051734681,0.0517922017,56.23158804,8.32E-05,0.0517922017,1,-1
0.05422526791,18.38646317,0.05267831212,0.0526101421,0.05281527783,0.05270858883,0.05284441372,0.05298323105,65.93023742,0.0001358248959,0.05298323105,1,-1
0.05537036709,18.77473831,0.05348500511,0.05347244659,0.05349603698,0.05320851883,0.05357098162,0.05387792086,67.86530197,0.0003624627906,0.05387792086,1,1
0.05880920283,19.94076347,0.05642922588,0.0550139937,0.05668428562,0.05658050594,0.05671177718,0.05684420761,67.20958538,0.00013127124,0.05684420761,1,-1
0.04940072311,16.75057793,0.04967578516,0.05316541221,0.04871774335,0.04860341227,0.04877505763,0.04899715049,55.27593759,0.0001716453611,0.04899715049,1,-1
0.05050087739,17.12361336,0.04928177133,0.05265395463,0.04871549225,0.04863373184,0.04873571521,0.04881672405,59.48911811,0.0001019833668,0.04881672405,1,1
0.06632424807,22.48893166,0.06430545458,0.06193708371,0.06460309068,0.06448854567,0.06463635184,0.06479488444,62.14250176,0.0001478061651,0.06479488444,1,-1
0.06322046836,21.43651581,0.06370338494,0.06585707485,0.06244895755,0.06242144443,0.06248672986,0.06262306048,53.11951509,6.53E-05,0.06262306048,1,-1
0.06467307725,21.92905998,0.06395105379,0.06560135746,0.06484374501,0.06387228944,0.06497191515,0.06542323733,52.64282267,0.001099625714,0.06542323733,1,-1
0.06071140693,20.58575439,0.05871765102,0.06246686034,0.05813900343,0.05790438335,0.05822776585,0.05861503683,59.52989701,0.0003233824927,0.05861503683,1,-1
0.03959698143,13.42636871,0.03916137692,0.04758245876,0.03812349007,0.03806817595,0.03819120947,0.03849313336,56.53753078,0.0001230335239,0.03849313336,1,1
